GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.logger.log4j,Log4jLogger,177,0,10,0,39,0,27,0,22,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.logger.log4j,Log4jLoggerAdapter,127,0,32,0,49,0,25,0,9,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.logger.support,FailsafeLogger,196,0,0,0,82,0,24,0,24,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.status,Status.Level,27,0,0,0,5,0,1,0,1,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.status,Status,33,0,0,0,12,0,6,0,6,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common,URL,3213,0,528,0,677,0,399,0,135,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common,Constants,23,0,0,0,9,0,2,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common,Version,375,0,64,0,85,0,44,0,12,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common,Parameters,454,0,90,0,104,0,76,0,31,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,JSONToken,42,0,13,0,20,0,15,0,3,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,JSON,1025,0,100,0,281,0,93,0,19,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,JSON.Entry,9,0,0,0,4,0,1,0,1,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,JSONReader.new ThreadLocal() {...},3,0,0,0,1,0,1,0,1,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter,674,0,52,0,158,0,30,0,4,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,JSONArray,206,0,36,0,35,0,33,0,15,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,J2oVisitor,872,0,140,0,206,0,85,0,15,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,JSONObject,244,0,38,0,41,0,35,0,16,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,JSONWriter.State,9,0,0,0,4,0,1,0,1,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},13,0,2,0,4,0,3,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},9,0,0,0,2,0,2,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},9,0,0,0,2,0,2,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},16,0,2,0,4,0,3,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},16,0,2,0,4,0,3,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,Yylex,6730,0,102,0,217,0,99,0,21,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},12,0,2,0,4,0,3,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},19,0,4,0,4,0,4,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},19,0,4,0,4,0,4,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},14,0,0,0,3,0,2,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,JSONWriter,464,0,31,0,91,0,35,0,18,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},10,0,0,0,3,0,2,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},10,0,0,0,3,0,2,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},9,0,0,0,3,0,2,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},16,0,2,0,4,0,3,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},10,0,0,0,3,0,2,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},10,0,0,0,3,0,2,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},10,0,0,0,3,0,2,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},11,0,0,0,3,0,2,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,JSONReader,68,0,8,0,19,0,10,0,6,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},10,0,0,0,3,0,2,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},35,0,4,0,8,0,4,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},16,0,2,0,4,0,3,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},52,0,6,0,9,0,5,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.json,ParseException,7,0,0,0,4,0,2,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.threadpool.support,AbortPolicyWithReport.new Runnable() {...},78,0,4,0,20,0,4,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.threadpool.support,AbortPolicyWithReport,145,0,4,0,23,0,6,0,4,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.compiler.support,JdkCompiler.new PrivilegedAction() {...},17,0,0,0,2,0,2,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.compiler.support,JdkCompiler.JavaFileManagerImpl,209,0,28,0,40,0,22,0,8,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.compiler.support,ClassUtils,825,0,167,0,187,0,129,0,38,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.compiler.support,AbstractCompiler,130,0,10,0,22,0,8,0,3,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.compiler.support,JavassistCompiler,319,0,30,0,61,0,18,0,3,0
